"Elements,Bubble",Quick,Counting(3),Counting(10),Radix(10)
2,4.86373901367e-06,8.05854797363e-06,6.33716583252e-05,0.0698398590088,0.0739302158356
5,8.9168548584e-06,1.57356262207e-05,6.19888305664e-05,0.0693200111389,0.0742208480835
10,2.36034393311e-05,3.00407409668e-05,6.41822814941e-05,0.0674415588379,0.0741862297058
15,4.83512878418e-05,4.86373901367e-05,6.6614151001e-05,0.0675604343414,0.0740230560303
20,7.20024108887e-05,5.9986114502e-05,6.84261322021e-05,0.06752409935,0.0744310855865
25,0.000109577178955,7.85827636719e-05,7.08103179932e-05,0.06763920784,0.0741553783417
30,0.000151824951172,9.64164733887e-05,7.18116760254e-05,0.067856836319,0.0744589805603
35,0.000206995010376,0.000111150741577,7.39574432373e-05,0.0677117824554,0.0743972301483
40,0.000281190872192,0.000127792358398,7.57694244385e-05,0.0677819728851,0.0741200447083
45,0.000373792648315,0.000140619277954,7.77721405029e-05,0.0674875259399,0.0742148399353
50,0.000440406799316,0.000155830383301,8.08715820312e-05,0.0675907611847,0.0743716239929
55,0.000540733337402,0.00017204284668,8.11576843262e-05,0.067657995224,0.0743116855621
60,0.000647354125977,0.000182819366455,8.32080841064e-05,0.0675888061523,0.0741475582123
65,0.000768184661865,0.000198173522949,8.48293304443e-05,0.0675854206085,0.0740330219269
70,0.000853824615479,0.000218868255615,8.74519348145e-05,0.0676563739777,0.0741230964661
75,0.00104665756226,0.000227737426758,8.89301300049e-05,0.0679618835449,0.0748027801514
80,0.00111856460571,0.000240230560303,9.05990600586e-05,0.067734003067,0.0744342327118
85,0.00131239891052,0.000278234481812,9.20295715332e-05,0.0676786422729,0.0742712020874
90,0.00153398513794,0.000279569625854,9.46521759033e-05,0.0679090023041,0.0741454124451
95,0.00166344642639,0.000294589996338,9.5796585083e-05,0.0677719593048,0.0742650508881
100,0.00173258781433,0.000294733047485,9.74178314209e-05,0.0677020072937,0.0741070270538
105,0.00199904441833,0.0003258228302,0.000101184844971,0.0677440643311,0.0741022586823
110,0.00226631164551,0.000345087051392,0.000100088119507,0.0675691604614,0.0742542266846
115,0.00245189666748,0.000359201431274,0.000101184844971,0.0680066108704,0.0743222236633
120,0.00272698402405,0.000384998321533,0.000106000900269,0.0675065994263,0.0739511489868
125,0.00292153358459,0.000381803512573,0.000103807449341,0.0680582523346,0.0741041660309
130,0.00314521789551,0.000400590896606,0.000104522705078,0.0677820205688,0.074205160141
135,0.0032901763916,0.000391626358032,0.000108957290649,0.0677576065063,0.0740864753723
140,0.0037296295166,0.00040717124939,0.000108242034912,0.0676924228668,0.0741903781891
145,0.00388479232788,0.000414562225342,0.000109004974365,0.0679794311523,0.0740424633026
150,0.00421838760376,0.000435304641724,0.000110673904419,0.0678300380707,0.0741065502167
155,0.00453200340271,0.000465393066406,0.000111722946167,0.0678463935852,0.0744295597076
160,0.00473918914795,0.00046558380127,0.000113773345947,0.0679919719696,0.0741089820862
165,0.00508036613464,0.000496912002563,0.000113391876221,0.0681456565857,0.0741959571838
170,0.00576505661011,0.000508403778076,0.000115633010864,0.0677837848663,0.0739956378937
175,0.00567178726196,0.000516605377197,0.000117826461792,0.0678931713104,0.0741588115692
180,0.00598015785217,0.000509595870972,0.000123405456543,0.0678699970245,0.0744462490082
185,0.00641121864319,0.000538396835327,0.000123643875122,0.0681364536285,0.0739301681519
190,0.00692281723022,0.000548028945923,0.000130796432495,0.0679344177246,0.0740791320801
195,0.00714139938354,0.000555467605591,0.000121593475342,0.0679595947266,0.0745739936829
200,0.00756039619446,0.000583839416504,0.000124168395996,0.0679656028748,0.0740277767181
205,0.00770325660706,0.000611782073975,0.000124835968018,0.068231344223,0.0742767810822
210,0.00823554992676,0.000575828552246,0.000126171112061,0.0679764270782,0.0740404605865
215,0.00879163742065,0.000593423843384,0.000125980377197,0.0682272434235,0.0741384029388
220,0.00918922424316,0.000634813308716,0.0001296043396,0.0680349826813,0.0744916915894
